Name,Time,Comment
,,
Vox,1 year ago,"Vox Atlas is a new series looking into the big foreign policy stories shaping the globe, produced by Sam Ellis. Check out the rest of season one of Atlas here – and let us know what stories you want to see: http://bit.ly/2SThVsf"
,,
Mahir Cave,1 year ago,Guess it's time to learn some Chinese
,,
Mikropono,4 months ago,"US = War
China = Trade
China vs US = Trade War"
,,
melvin5818,5 months ago,Can't hate China for playing the game so well.
,,
K X,1 day ago,"“China like loan money to unreliable country” 
The us: 👀"
,,
cha0s_dvl11,6 months ago (edited),Now everyone in the comment section has became professional economist. Read at your own risk.
,,
Thulanja Lansakara,4 months ago (edited),"While the US trying to maintain their dominance by Guns and Bombs, China gaining it by Economically."
,,
Stanz,4 months ago,Just admit it. China 🇨🇳 good at trade and USA 🇺🇸 good at war.
,,
Macky,1 month ago,"Roses are red
Violets are blue
There's always an Asian
Better than you"
,,
Sripad Telugu,6 months ago (edited),"Notice how India is not part of this, yet being the center of this"
,,
Louis chiraq,9 months ago (edited),"China then: builds wall
America then: builds connections

China now: builds connections
America now: builds wall

I see where you are going..."
,,
Karthik YT,6 months ago,That's how you surround India !
,,
Gary Eleven,1 month ago,"20 years ago,
The U.S: Free trade is good! 
China: Let me join WTO then.
20 years later,
China: Free trade is good! 
The U.S: I wanna quit these shxt games..."
,,
Crno Bjeli,4 months ago,"China invest in Serbia. Chinese companies build bridges,railway,power station,bank,automotive industry.... Love China from Serbia."
,,
Just Vienna,3 months ago,"""All roads lead to Rome""

Or in this case ""All roads lead to Beijing""

Hard to hate China even when the motive is fully understood but hey the USA isnt any better so I guess good job China"
,,
Jethro Arnaiz,1 year ago,"In the year 2050 the black man and the white man will finally live in peace and harmony, working side by side in Chinese work camps. hehehehehehehe - Frankie Boyle"
,,
Cheyenne Cheyenne,1 month ago,"American government spending taxpayers money on wars
China investing for the future"
,,
Prince kr,1 month ago,"The red dragon is awaken ! 
The eagle cant do anything"
,,
ferme de loriandre,5 months ago,Remember folks! There's always an Asian who's better than you.
,,
Davibes TV,1 month ago,"Me:goes to the core of earth
Also me:sees ""Made in China"""
,,
Phantom KE,1 year ago,China is playing the long game pretty well.
,,
zye 0715,4 months ago,1:50  The map is an “international joke”. The red dot where should be Xi’an is labeled as Yiwu XDD
,,
Basketball Guru,4 months ago,"I'm from Serbia and I can confirm that China already invested and built serval important infrastructure from highways, bridges, railways and energy and what they are doing exactly? They give to the country loan with low interest rates and grace periods up to 20-30 years, but only condition is that has to build Chinese company with Chinese workers and when they finish one project they are moving on to the other and so on and so on. They are returning big amounts of money right away because their government ruled companies are making profits.
More stable country is they give greater period of delayed payment, and if they not return they will take control of the project for long time.
Why Serbia? They bought ports in Athens and Thessaloniki and if they have stable infrastructure to the Budapest they have win the jackpot.
As I understood they are building big warehouse close to the Belgrade where highways for Budapest, Zagreb, Sofia and Thessaloniki intersect and railway passing true plus there is two rivers Danube and Sava."
,,
Pukii,2 months ago,"China - Wants to rule the world by economy

US - Wants to rule the world by war.



China is so evil!! 😣😬😬"
,,
yu wang,2 months ago,"CHINA: GIVE THEM MONEY AND OPPORTUNITY.
US: GIVE THEM WAR."
,,
Kurt Hamel,1 year ago,Imagine if America took half it's military budget and spent it on projects like this at home and with our allies.
,,
little conco,5 months ago,"China ""the Sleeping Giant"" has completely woken up. It can really lead the global trade in just a few years. 👍🏻
I must say chinese are really good when it comes to business. Nobody can beat them."
,,
Entertainment 101,3 months ago,I just downloaded a chinese ai learning app better late than never huh?
,,
Ali Reza,5 months ago,"China is a great country, Just imagine we in Iran are under unfair sanctions and China is the only country that has been helping us, I was a student in Electronic and Control engineering but I couldn't buy anything from other countries to make my PCBs and setup. but Chinese people purchased and sent them for me."
,,
